commune,code_insee,localisation,comp_loc,nom_velib,id_velib,nb_borne,etat,id,commune_min,groupement,geo_point_2d,latitude,longitude
ISSY-LES-MOULINEAUX,92040,6  RUE CHARLOT,,Charlot - Stade Gabriel Voisin,21323.0,31.0,En service,VELIB76,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82721368818088', '2.2680783856489035']",48.82721368818088,2.2680783856489035
ISSY-LES-MOULINEAUX,92040,61  RUE D'EREVAN,,Cimetière communal,21316.0,28.0,En service,VELIB45,Issy-les-Moulineaux,BB/ILM/VAN,"['48.817484997360175', '2.2610898148251746']",48.817484997360175,2.2610898148251746
ISSY-LES-MOULINEAUX,92040,2  RUE KLEBER,,Kléber - Gouverneur Général Eboué,21310.0,24.0,En service,VELIB18,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82696195391222', '2.272284574096853']",48.82696195391222,2.272284574096853
VANVES,92075,9  AVENUE PASTEUR,Angle côté impair,Square Etienne Jarousse,21707.0,25.0,En service,VELIB20,Vanves,BB/ILM/VAN,"['48.82496390523341', '2.292517206040809']",48.82496390523341,2.292517206040809
ISSY-LES-MOULINEAUX,92040,2  RUE FOUCHER LEPELLETIER,,Guynemer - Séverine,21313.0,26.0,En service,VELIB41,Issy-les-Moulineaux,BB/ILM/VAN,"['48.83094662668092', '2.279018625628511']",48.83094662668092,2.279018625628511
VANVES,92075,AVENUE MARCEL MARTINIE,Angle côté du square,Square du Carrefour de l'Insurrection,21703.0,23.0,En service,VELIB27,Vanves,BB/ILM/VAN,"['48.820957941397225', '2.2911646752155024']",48.820957941397225,2.2911646752155024
SEVRES,92072,PARKING DE L'ILE DE MONSIEUR SUD,,Manufacture Nationale,24104.0,28.0,En service,VELIB75,Sèvres,CHA/MEU/SEV/VDA,"['48.8287351190096', '2.2248970822700387']",48.8287351190096,2.2248970822700387
SEVRES,92072,PLACE PIERRE BROSSOLETTE,,Gare de Sèvre-Ville-d'Avray,23107.0,,En projet,VELIB85,Sèvres,CHA/MEU/SEV/VDA,"['48.826169202689314', '2.200216043759164']",48.826169202689314,2.200216043759164
ISSY-LES-MOULINEAUX,92040,PLACE LAFAYETTE,Près de la fontaine,Place Lafayette,21306.0,62.0,En service,VELIB1,Issy-les-Moulineaux,BB/ILM/VAN,"['48.8294143506716', '2.2636869804645277']",48.8294143506716,2.2636869804645277
VANVES,92075,4  RUE DE LA REPUBLIQUE,,Place du Maréchal de Lattre de Tassigny,21704.0,27.0,En service,VELIB2,Vanves,BB/ILM/VAN,"['48.82165611670251', '2.285392177262943']",48.82165611670251,2.285392177262943
CHAVILLE,92022,1477  AVENUE ROGER SALENGRO,,Hôtel de Ville de Chaville,23702.0,20.0,En service,VELIB7,Chaville,CHA/MEU/SEV/VDA,"['48.80889245309894', '2.1881277870992255']",48.80889245309894,2.1881277870992255
BOULOGNE-BILLANCOURT,92012,15  ROND POINT RHIN ET DANUBE,,Rond-Point Rhin et Danube,21007.0,53.0,En service,VELIB9,Boulogne-Billancourt,BB/ILM/VAN,"['48.84050682212314', '2.2280381401996165']",48.84050682212314,2.2280381401996165
ISSY-LES-MOULINEAUX,92040,RUE VICTOR HUGO,EMPLACEMENT A DEFINIR,Quartier Victor Hugo,,,En projet,VELIB88,Issy-les-Moulineaux,BB/ILM/VAN,"['48.82569702077333', '2.276472752924713']",48.82569702077333,2.276472752924713
BOULOGNE-BILLANCOURT,92012,93  RUE DE SILLY,,Silly - Galliéni,21010.0,25.0,En service,VELIB10,Boulogne-Billancourt,BB/ILM/VAN,"['48.835408943238555', '2.2325583406834073']",48.835408943238555,2.2325583406834073
BOULOGNE-BILLANCOURT,92012,162  RUE DE PARIS,,Marcelin Berthelot,21006.0,27.0,En service,VELIB11,Boulogne-Billancourt,BB/ILM/VAN,"['48.841561456257175', '2.2330510262491567']",48.841561456257175,2.2330510262491567
BOULOGNE-BILLANCOURT,92012,4  AVENUE PIERRE GRENIER,,Pierre Grenier - Pont de Billancourt,21013.0,21.0,En service,VELIB31,Boulogne-Billancourt,BB/ILM/VAN,"['48.825811723977466', '2.2487788269459656']",48.825811723977466,2.2487788269459656
MEUDON,92048,ALLEE DE REFFYE,En face du 1,Val-Fleury,21954.0,23.0,En service,VELIB44,Meudon,CHA/MEU/SEV/VDA,"['48.80769963271826', '2.2406982673642046']",48.80769963271826,2.2406982673642046
VANVES,92075,RUE MARCEL YOL,En face du 4,Marcel Yol - Jullien,21708.0,30.0,En service,VELIB33,Vanves,BB/ILM/VAN,"['48.82537909953833', '2.287343077396009']",48.82537909953833,2.287343077396009
