,Num_Features,Performance
0,93,0.43766539950708283
1,92,0.43766539950708283
2,91,0.43766539950708283
3,90,0.43300978645934907
4,89,0.4282483491637378
5,88,0.4317638759084314
6,87,0.4324194102273301
7,86,0.4353101429681134
8,85,0.43041684073195696
9,84,0.43753849419214946
10,83,0.4314240073976108
11,82,0.4353700679055463
12,81,0.43498208985965076
13,80,0.43725803019037635
14,79,0.4401413271441376
15,78,0.43374583432174657
16,77,0.43722389960296204
17,76,0.44158029315837144
18,75,0.44091714456557013
19,74,0.44008419251988834
20,73,0.4263999079797982
21,72,0.43392019679521354
22,71,0.4348351187518459
23,70,0.4356894170855943
24,69,0.4335715981796588
25,68,0.44118418637999507
26,67,0.44921529297775176
27,66,0.43890236434970986
28,65,0.4489437790513458
29,64,0.48598238833094154
30,63,0.48598238833094154
31,62,0.4538987501988875
32,61,0.4414117066116457
33,60,0.43779512416763766
34,59,0.43775326724736685
35,58,0.43549541783702683
36,57,0.4392296455055693
37,56,0.458219318677132
38,55,0.44922811401589824
39,54,0.4369699147404605
40,53,0.43724009906930983
41,52,0.4422371479319555
42,51,0.45394371487685736
43,50,0.44797957292493457
44,49,0.43568335278285836
45,48,0.44115891278273395
46,47,0.42887134681415334
47,46,0.4474468170071665
48,45,0.44183621065220435
49,44,0.4367371160002521
50,43,0.4283951513686512
51,42,0.43920311703371245
52,41,0.4356894901908095
53,40,0.43692818588259946
54,39,0.4268628300312438
55,38,0.42712157782322124
56,37,0.4371246707942817
57,36,0.44800114557697424
58,35,0.44588968762478354
59,34,0.43110932509419403
60,33,0.44762165633805606
61,32,0.4404646259878395
62,31,0.4362475263076117
63,30,0.43664836739050544
64,29,0.4368867784126601
65,28,0.4335912033549855
66,27,0.4344163321757101
67,26,0.42797741665702077
68,25,0.4275259617558318
69,24,0.43243533018386576
70,23,0.4280595048407038
71,22,0.41769835588064175
72,21,0.42817815142760357
73,20,0.42444771628602784
74,19,0.4401430091061567
75,18,0.42501924648852857
76,17,0.4193490240599739
77,16,0.421741582578856
78,15,0.4234672794370299
79,14,0.42163627927424363
80,13,0.44229746890568594
81,12,0.4548566945590743
82,11,0.469353334422304
83,10,0.44180176108420477
84,9,0.4418816665464104
85,8,0.43726880449645156
86,7,0.4268688418282818
87,6,0.42229685454823224
88,5,0.6017488521684459
89,4,0.9504154595090307
90,3,0.955150106640127
91,2,0.995333678169124
92,1,1.1720119900089887
